id,job_title,skills
194,IT Support,"['data center', 'asset management', 'preventive maintenance', 'corrective maintenance', 'network monitoring', 'maintenance data', 'data storage', 'procurement', 'install', 'scripting', 'linux', 'ubuntu', 'troubleshooting']"
196,IT Infrastructure and Delivery Support,"['it infrastructure', 'asset management', 'service delivery', 'itil certification', 'active directory', 'application server', 'email management', 'user profile', 'linux server', 'dns', 'mcsa', 'erp', 'technology transitions', 'infrastructure', 'internal standard', 'ad', 'manage', 'collaboration', 'virtualization', 'proxmox', 'windows server', 'development program']"
197,Apoteker Penanggung Jawab (Store Manager) Tebet,"['analytical thinking', 'operational', 'leadership', 'communication service', 'negotiation']"
198,Business Development,"['computer science', 'information technology', 'information system', 'business marketing', 'digital integration', 'write communication', 'digital marketing', 'marketing strategy', 'performance report', 'case', 'management', 'creative', 'multimedia', 'sales', 'consultant', 'development application', 'development custom', 'track', 'negotiation', 'presentation', 'english', 'government', 'plan', 'manage resources', 'adapt', 'managing', 'new business', 'coordination', 'quotations', 'presentations', 'value analysis', 'negotiate prices', 'bids', 'professional', 'business plan', 'procurements']"
199,Recruitment Staff,"['mobile phone', 'tools managing', 'closing', 'operations', 'communication skills']"
200,Product Owner - Retail Loan,"['product management', 'financial institution', 'business development', 'managing operational', 'product development', 'development process', 'new products', 'banking', 'added', 'agile']"
204,Supervisor Maintenance,"['preventive maintenance', 'production process', 'repairing', 'electricity', 'engine control', 'engine system', 'planning', 'electrical', 'operate', 'communicate', 'english', 'communication skills', 'leadership', 'teamwork']"
207,Recruitment Staff,"['time management', 'source', 'onboarding', 'new hire', 'closing', 'making decisions', 'sourcing', 'communicate']"
208,Teknisi Maintenance (Sipil),"['preventive maintenance', 'shift', 'boiler', 'schedule']"
209,Content Creator,"['decision make', 'creative', 'innovative', 'sales', 'management']"
214,Utility & Environmental Assistant Manager,"['water treatment', 'wastewater treatment plant', 'waste management', 'environmental monitoring', 'chemical engineering', 'paper mill', 'operation', 'manage', 'boilers', 'compressors', 'licenses', 'safe', 'managing', 'license', 'government', 'consultant', 'communication', 'negotiations', 'cross functional', 'communicate', 'english']"
217,AREA SALES MANAGER OTC,"['goal set', 'write english', 'microsoft office', 'reach', 'sales', 'targets', 'base servicing', 'customer servicing', 'training sales', 'accounts', 'pharmaceutical', 'sales retail', 'leadership', 'creative', 'operate', 'negotiation']"
219,Senior Business Consultant (IT Software),"['research and development', 'functional requirement', 'test script', 'user guide', 'functional testing', 'software testing', 'computer science', 'information technology', 'general insurance', 'detail orient', 'innovative', 'manage', 'user requirements', 'presentations', 'documenting requirement', 'requirement functional', 'develop test', 'test manager', 'develop software', 'r', 'improve performance', 'productivity requirements', 'business management', 'engineering computer', 'consulting', 'communication skills', 'english', 'added', 'programming', 'insurance life insurance', 'banking', 'creative']"
220,Corporate Lawyer,"['intellectual property', 'corporate law', 'contract law', 'tax law', 'property right', 'consult', 'legal processes', 'mergers acquisitions', 'securities', 'lawsuits', 'patents', 'guard', 'draft', 'law', 'bankruptcy', 'licensing', 'zoning', 'english']"
221,Sales Executive Lampung,"['microsoft office', 'insurance sale', 'executing', 'sales', 'mapping', 'social', 'logistics', 'presentations', 'communications', 'innovative', 'management', 'bahasa', 'persistence', 'oriented achiever', 'financing', 'banking', 'credit card']"
222,Area Sales & Promotion MANAGER,"['program', 'plan', 'forecast', 'sales manager', 'supermarkets', 'hypermarkets', 'cosmetic']"
223,SECURITY ENGINEER,"['network security', 'network monitoring', 'security system', 'intrusion detection system', 'project implementation', 'engineering computer', 'system security', 'communication', 'firewalls palo alto', 'anti virus', 'management', 'management content', 'content filtering', 'coordination', 'troubleshooting']"
224,Sales Engineer (South Sumatera & up ),"['customer service', 'order processing', 'welding', 'plans', 'schedules', 'targets', 'sales', 'accounts', 'collection', 'mechanical', 'metallurgy', 'english written']"
